new entry "Shout_BreakTheShacklesOSR"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "ActionPoints" "0"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "AreaRadius" "4"
data "AddWeaponRange" "No"
data "TargetConditions" "Self|Ally"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "No"
data "Requirements" "Combat"
data "Icon" "Skill_Origins_BreakTheShackles"
data "DisplayName" "Shout_BreakTheShacklesOSR_DisplayName"
data "DisplayNameRef" "Break The Shackles"
data "Description" "Shout_BreakTheShacklesOSR_Description"
data "DescriptionRef" "Break free from nearly all negative statuses. Nearby allies will also receive this effect.<br><br>Excludes Knocked Down, Frozen, Petrified, Stunned, Sleeping, Taunted, Chicken Form, Squirrel Form, Rabbit Form, Frog Form, Possessed, Charmed, Transfixed, and Terrified."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_shout_01_start"
data "PrepareAnimationLoop" "skill_prepare_shout_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Divine_Prepare_Shout_BreakTheShackles_Root_01,KeepRot:Dummy_Root"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "HitEffect" "RS3_FX_Skills_Divine_Cast_Shout_BreakTheShackles_01"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "CleanseStatuses" "FIREBLOOD;NULL_RESISTANCE;DAZED;CHALLENGE;CHALLENGE_LOSS;GROUNDED;DAMAGE_ON_MOVE;BURNING;POISONED;BLEEDING;NECROFIRE;SLOWED;CRIPPLED;WEB;ENTANGLED;MUTED;DISARMED;DISEASED;SHACKLES_OF_PAIN;INFECTIOUS_DISEASED;DECAYING_TOUCH;SHOCKED;CHILLED;SUFFOCATING;ACID;INFESTED;DEAF;PLAGUE;BLIND;WEAK;ENRAGED;DEMONIC_STARE;TIME_SLOWED;OdinCORE_LOSTFOOTING;SHADE_ShadeChallenge;SHADE_BladeChallenge;SHADE_BladeChallenged_Loss;SHADE_ShadeChallenged_Loss;SHADE_Exposed1;SHADE_Peril1;SHADE_Exposed2;SHADE_Exposed3;SHADE_Peril2;SHADE_Peril3;SHADE_Fading;OdinSpectre_AGONY1;OdinSpectre_AGONY2;OdinSpectre_AGONY3;OdinSpectre_AGONY4;OdinSpectre_AGONY5;OdinSpectre_DREAD;OdinSpectre_WITHER;OdinSpectre_CURSE_VULNERABLE;OdinSpectre_CURSE_WEAKNESS;OdinSpectre_SEEDOFMALICE;OdinSpectre_PERISH;OdinSpectre_CURSE_INEPT;OdinSpectre_LAMENTED;OdinPyro_BURNING1;OdinPyro_BURNING2;OdinPyro_BURNING3;OdinPyro_BURNING4;OdinPyro_BURNING5;OdinPyro_SMOLDER;OdinPyro_SMOLDER_AURA;OdinPyro_PHOENIXIANFURY;OdinPyro_SNARED;OdinWater_HYPOTHERMIA;OdinWater_DAMPENED;OdinWater_SCALDED;OdinWater_SLOWCURRENT;OdinWater_DROWNING;OdinGEO_Oiled;OdinGEO_Spored;OdinGEO_ParasiticAffliction;OdinGEO_Corruption;OdinAERO_CONDUCTIVE;OdinAERO_HAZED;OdinAERO_GRAVITY;OdinNECRO_RUPTURE;"
data "StatusClearChance" "100"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "IgnoreSilence" "Yes"

